지점명,일시,일강수량(mm)
서울,2015-04-12,
서울,2015-04-13,6.5
서울,2015-04-14,10.5
서울,2015-04-15,1
서울,2015-04-16,7
서울,2015-04-17,
서울,2015-04-18,0
서울,2015-04-19,12
서울,2015-04-20,5.5
서울,2015-04-21,
서울,2015-04-22,0
서울,2015-04-23,
서울,2015-04-24,
서울,2015-04-25,
서울,2015-04-26,
서울,2015-04-27,
서울,2015-04-28,0
서울,2015-04-29,3.5
서울,2015-04-30,
서울,2015-05-01,
서울,2015-05-02,0.5
서울,2015-05-03,3.5
서울,2015-05-04,
서울,2015-05-05,
서울,2015-05-06,
서울,2015-05-07,
서울,2015-05-08,
서울,2015-05-09,
서울,2015-05-10,
서울,2015-05-11,14
서울,2015-05-12,9.5
서울,2015-05-13,0
서울,2015-05-14,
서울,2015-05-15,
서울,2015-05-16,
서울,2015-05-17,
서울,2015-05-18,
서울,2015-05-19,1
서울,2015-05-20,
서울,2015-05-21,
서울,2015-05-22,
서울,2015-05-23,
서울,2015-05-24,
서울,2015-05-25,
서울,2015-05-26,
서울,2015-05-27,
서울,2015-05-28,
서울,2015-05-29,
서울,2015-05-30,0.4
서울,2015-05-31,
서울,2015-06-01,
서울,2015-06-02,
서울,2015-06-03,
서울,2015-06-04,
서울,2015-06-05,1
서울,2015-06-06,
서울,2015-06-07,
서울,2015-06-08,
서울,2015-06-09,
서울,2015-06-10,
서울,2015-06-11,7.5
서울,2015-06-12,0.5
서울,2015-06-13,0.5
서울,2015-06-14,15.5
서울,2015-06-15,
서울,2015-06-16,
서울,2015-06-17,9.5
서울,2015-06-18,3
서울,2015-06-19,
서울,2015-06-20,44.5
서울,2015-06-21,
서울,2015-06-22,
서울,2015-06-23,
서울,2015-06-24,
서울,2015-06-25,2
서울,2015-06-26,12.5
서울,2015-06-27,
서울,2015-06-28,
서울,2015-06-29,0
서울,2015-06-30,2.5
서울,2015-07-01,0.5
서울,2015-07-02,
서울,2015-07-03,
서울,2015-07-04,
서울,2015-07-05,
서울,2015-07-06,
서울,2015-07-07,
서울,2015-07-08,0.5
서울,2015-07-09,
서울,2015-07-10,
서울,2015-07-11,0
서울,2015-07-12,29
서울,2015-07-13,10
서울,2015-07-14,
서울,2015-07-15,
서울,2015-07-16,
서울,2015-07-17,
서울,2015-07-18,0.5
서울,2015-07-19,5
서울,2015-07-20,
서울,2015-07-21,11
서울,2015-07-22,1
서울,2015-07-23,16
서울,2015-07-24,26.5
서울,2015-07-25,80
서울,2015-07-26,40.5
서울,2015-07-27,1.5
서울,2015-07-28,0
서울,2015-07-29,4
서울,2015-07-30,
서울,2015-07-31,
서울,2015-08-01,
서울,2015-08-02,16.5
서울,2015-08-03,0
서울,2015-08-04,
서울,2015-08-05,0.1
서울,2015-08-06,
서울,2015-08-07,11
서울,2015-08-08,7.5
서울,2015-08-09,
서울,2015-08-10,
서울,2015-08-11,
서울,2015-08-12,
서울,2015-08-13,0
서울,2015-08-14,
서울,2015-08-15,0.1
서울,2015-08-16,29
서울,2015-08-17,
서울,2015-08-18,
서울,2015-08-19,0
서울,2015-08-20,0.4
서울,2015-08-21,2.5
서울,2015-08-22,0
서울,2015-08-23,
서울,2015-08-24,
서울,2015-08-25,5.5
서울,2015-08-26,0
서울,2015-08-27,0
서울,2015-08-28,0.3
서울,2015-08-29,
서울,2015-08-30,0
서울,2015-08-31,
서울,2015-09-01,
서울,2015-09-02,0.5
서울,2015-09-03,18
서울,2015-09-04,
서울,2015-09-05,5
서울,2015-09-06,
서울,2015-09-07,
서울,2015-09-08,
서울,2015-09-09,
서울,2015-09-10,
서울,2015-09-11,2.5
서울,2015-09-12,
서울,2015-09-13,
서울,2015-09-14,
서울,2015-09-15,
서울,2015-09-16,
서울,2015-09-17,
서울,2015-09-18,
서울,2015-09-19,
서울,2015-09-20,
서울,2015-09-21,
서울,2015-09-22,
서울,2015-09-23,
서울,2015-09-24,
서울,2015-09-25,
서울,2015-09-26,
서울,2015-09-27,
서울,2015-09-28,0
서울,2015-09-29,
서울,2015-09-30,
서울,2015-10-01,35
서울,2015-10-02,
서울,2015-10-03,
서울,2015-10-04,
서울,2015-10-05,
서울,2015-10-06,
서울,2015-10-07,
서울,2015-10-08,
서울,2015-10-09,
서울,2015-10-10,3.5
서울,2015-10-11,3.5
서울,2015-10-12,
서울,2015-10-13,
서울,2015-10-14,
서울,2015-10-15,
서울,2015-10-16,
서울,2015-10-17,
서울,2015-10-18,
서울,2015-10-19,
서울,2015-10-20,
서울,2015-10-21,
서울,2015-10-22,
서울,2015-10-23,
서울,2015-10-24,10.5
서울,2015-10-25,
서울,2015-10-26,2
서울,2015-10-27,26.5
서울,2015-10-28,
서울,2015-10-29,0.5
서울,2015-10-30,
서울,2015-10-31,
서울,2015-11-01,
서울,2015-11-02,
서울,2015-11-03,
서울,2015-11-04,
서울,2015-11-05,
서울,2015-11-06,4.5
서울,2015-11-07,24.5
서울,2015-11-08,10.5
서울,2015-11-09,3.5
서울,2015-11-10,
서울,2015-11-11,
서울,2015-11-12,
서울,2015-11-13,22.5
서울,2015-11-14,3.5
서울,2015-11-15,
서울,2015-11-16,5.5
서울,2015-11-17,
서울,2015-11-18,5.5
서울,2015-11-19,
서울,2015-11-20,
서울,2015-11-21,
서울,2015-11-22,3.5
서울,2015-11-23,6.5
서울,2015-11-24,0.5
서울,2015-11-25,11
서울,2015-11-26,0
서울,2015-11-27,
서울,2015-11-28,0.1
서울,2015-11-29,3
서울,2015-11-30,
서울,2015-12-01,
서울,2015-12-02,13.5
서울,2015-12-03,7.1
서울,2015-12-04,
서울,2015-12-05,
서울,2015-12-06,
서울,2015-12-07,
서울,2015-12-08,
서울,2015-12-09,
서울,2015-12-10,0.3
서울,2015-12-11,
서울,2015-12-12,
서울,2015-12-13,
서울,2015-12-14,2.5
서울,2015-12-15,0.1
서울,2015-12-16,
서울,2015-12-17,
서울,2015-12-18,0
서울,2015-12-19,
서울,2015-12-20,
서울,2015-12-21,2
서울,2015-12-22,
서울,2015-12-23,0.4
서울,2015-12-24,
서울,2015-12-25,0
서울,2015-12-26,0.7
서울,2015-12-27,
서울,2015-12-28,
서울,2015-12-29,
서울,2015-12-30,2.5
서울,2015-12-31,
서울,2016-01-01,
서울,2016-01-02,
서울,2016-01-03,
서울,2016-01-04,
서울,2016-01-05,
서울,2016-01-06,
서울,2016-01-07,
서울,2016-01-08,
서울,2016-01-09,
서울,2016-01-10,
서울,2016-01-11,
서울,2016-01-12,
서울,2016-01-13,0.4
서울,2016-01-14,0
서울,2016-01-15,
서울,2016-01-16,0.1
서울,2016-01-17,
