user_id,gender,age
e000003,0,40
e000004,0,40
e000005,1,30
e000006,0,30
e000009,1,30
e000010,1,30
e000011,1,60
e000013,1,20
e000014,0,60
e000015,0,20
e000016,0,30
e000018,1,40
e000020,1,40
e000021,0,20
e000022,0,40
e000023,0,60
e000025,1,40
e000030,0,50
e000037,1,30
e000038,0,30
e000039,0,40
e000040,0,30
e000041,0,60
e000042,1,20
e000043,0,30
e000045,1,60
e000046,0,60
e000191,0,30
e000293,1,30
e000294,1,20
e000295,0,20
e000296,1,30
e000299,1,50
e000301,0,20
e000302,1,20
e000305,0,30
e000307,0,30
e000311,0,30
e000316,1,20
e000317,0,30
e000319,1,50
e000322,0,60
e000323,1,20
e000329,1,20
e000331,1,30
e000332,0,20
e000334,1,20
e000335,1,30
e000336,1,30
e000338,1,40
e000340,1,40
e000342,0,60
e000344,0,30
e000345,0,30
e000346,0,60
e000347,0,40
e000350,1,30
e000352,1,30
e000353,1,40
e000355,1,40
e000357,1,30
e000360,0,30
e000362,1,40
e000364,1,30
e000365,1,40
e000366,1,40
e000369,1,30
e000371,1,30
e000373,1,60
e000375,1,40
e000376,1,50
e000377,1,30
e000379,0,40
e000381,1,30
e000384,1,30
e000385,0,30
e000387,0,30
e000395,1,40
e000396,1,30
e000397,1,50
e000400,0,50
e000401,1,40
e000403,1,40
e000406,1,60
e000407,1,50
e000409,1,60
e000412,1,20
e000418,1,40
e000422,1,40
e000425,1,30
e000429,1,40
e000430,0,20
e000432,1,20
e000433,1,20
e000435,1,40
e000437,1,20
e000438,0,40
e000443,1,40
e000445,0,30
e000447,1,30
e000448,0,30
e000450,1,20
e000451,0,40
e000453,0,30
e000454,1,30
e000460,1,40
e000463,0,40
e000466,1,30
e000469,1,20
e000472,0,20
e000473,0,30
e000474,0,30
e000477,1,20
e000479,0,50
e000480,1,50
e000481,1,20
e000482,0,30
e000483,1,60
e000486,0,20
e000490,1,30
e000491,0,40
e000492,0,50
e000496,0,20
e000500,1,40
e000504,1,30
e000505,0,40
e000506,1,20
e000507,0,40
e000509,0,20
e000510,1,60
e000514,0,60
e000515,0,40
e000521,0,40
e000523,0,40
e000524,1,40
e000525,0,40
e000526,1,20
e000531,1,20
e000533,0,60
e000535,1,20
e000536,0,40
e000540,1,40
e000541,1,40
e000544,1,40
e000546,0,20
e000547,0,30
e000548,0,40
e000550,1,30
e000552,1,40
e000556,0,30
e000557,0,50
e000559,1,30
e000560,1,30
e000561,0,50
e000563,1,20
e000564,0,40
e000566,1,50
e000567,1,30
e000569,0,30
e000571,1,30
e000574,1,30
e000579,0,30
e000580,1,40
e000584,1,30
e000588,1,40
e000590,1,30
e000591,0,30
e000594,1,30
e000595,1,20
e000597,0,40
e000599,1,40
e000601,1,20
e000602,1,20
e000603,1,40
e000604,0,50
e000605,1,20
e000607,1,30
e000608,1,20
e000609,0,30
e000612,0,40
e000615,1,30
e000618,1,40
e000620,0,30
e000621,1,60
e000622,1,20
e000623,1,40
e000625,1,30
e000627,0,40
e000628,0,40
e000632,1,60
e000637,1,20
e000639,1,40
e000640,1,60
e000641,1,30
e000644,0,40
e000645,1,20
e000646,1,20
e000647,1,30
e000648,1,40
e000650,1,30
e000651,1,60
e000654,1,30
e000655,0,50
e000662,0,30
e000664,0,30
e000666,0,20
e000668,1,30
e000669,0,30
e000672,0,60
e000673,0,30
e000680,0,40
e000682,0,20
e000686,0,30
e000689,0,20
e000691,1,30
e000693,0,40
e000695,1,30
e000696,0,40
e000697,0,50
e000699,1,30
e000700,1,20
e000704,1,30
e000705,0,20
e000706,1,20
e000707,0,40
e000709,0,60
e000710,0,30
e000715,1,30
e000717,1,30
e000718,1,20
e000733,0,30
e000734,1,40
e000736,1,40
e000737,0,30
e000738,0,30
e000743,0,30
e000745,1,40
e000746,0,30
e000747,1,40
e000748,1,30
e000751,0,30
e000752,1,40
e000760,0,30
e000761,0,50
e000762,1,20
e000765,0,30
e000767,1,40
e000768,1,40
e000771,1,40
e000774,1,30
e000782,0,50
e000785,1,20
e000787,1,20
e000789,1,40
e000791,0,20
e000793,0,60
e000794,1,20
e000801,0,30
e000802,0,40
e000803,0,30
e000804,1,30
e000805,1,40
e000807,0,30
e000810,1,30
e000811,1,40
e000812,0,30
e000817,0,30
e000818,1,30
e000823,1,40
e000826,1,50
e000828,1,60
e000830,0,30
e000831,0,40
e000838,0,30
e000840,1,30
e000841,1,20
e000844,1,30
e000847,1,30
e000849,1,20
e000850,1,30
e000852,1,30
e000854,1,40
e000856,1,20
e000859,1,30
e000861,1,30
e000863,1,20
e000865,1,20
e000866,1,20
e000867,0,30
e000872,1,50
e000875,0,50
e000877,1,40
e000882,1,20
e000883,1,30
e000886,1,60
e000889,0,30
e000899,1,30
e000902,0,30
e000903,0,30
e000905,0,30
e000906,1,20
e000907,1,20
e000910,0,30
e000914,1,20
e000917,1,30
e000919,0,40
e000930,1,20
e000932,1,20
e000935,0,60
e000936,0,30
e000938,1,40
e000942,0,30
e000946,0,20
e000947,0,30
e000949,0,30
e000950,1,60
e000951,1,30
e000955,1,40
e000956,1,50
e000959,1,40
e000961,0,40
e000962,1,30
e000964,1,30
e000966,0,60
e000967,1,30
e000969,1,40
e000973,1,60
e000976,0,40
e000983,0,50
e000984,1,30
e000986,1,30
e000987,1,20
e000992,1,40
e000993,1,20
e000994,1,20
e000995,0,30
e000996,1,30
e000997,0,40
e000998,1,30
e000999,1,60
e001001,0,20
e001007,1,40
e001009,1,20
e001012,1,20
e001013,1,40
e001014,1,20
e001019,0,30
e001022,1,20
e001023,0,30
e001024,0,30
e001025,0,30
e001026,0,30
e001029,0,50
e001030,0,50
e001031,1,20
e001032,1,30
e001033,1,30
e001040,0,30
e001041,1,40
e001045,0,30
e001049,1,40
e001052,1,30
e001057,0,60
e001059,0,30
e001060,0,30
e001061,1,30
e001062,0,40
e001063,0,30
e001068,0,40
e001069,0,30
e001070,1,20
e001071,1,30
e001078,1,30
e001079,1,30
e001081,0,30
e001084,0,60
e001085,0,40
e001093,1,30
e001097,1,40
e001098,1,30
e001103,1,40
e001104,1,20
e001108,1,20
e001110,1,60
e001112,1,40
e001113,0,20
e001114,1,20
e001117,1,20
e001118,0,40
e001122,1,20
e001124,1,30
e001125,0,30
e001126,1,40
e001127,1,40
e001130,0,30
e001131,1,20
e001132,0,20
e001133,1,40
e001134,1,20
e001137,1,20
e001139,1,40
e001140,0,40
e001142,1,30
e001146,0,20
e001147,0,20
e001149,1,30
e001150,0,50
e001156,0,20
e001159,1,30
e001161,1,30
e001164,1,40
e001166,1,40
e001171,0,30
e001172,1,30
e001173,0,30
e001174,0,30
e001176,0,40
e001178,1,40
e001180,0,30
e001182,1,40
e001183,1,40
e001188,0,40
e001190,1,30
e001194,1,30
e001200,0,20
e001201,0,40
e001203,0,50
e001207,1,30
e001209,0,20
e001211,0,30
e001212,1,50
e001215,0,30
e001218,0,40
e001220,1,30
e001230,1,50
e001233,1,30
e001235,0,30
e001238,0,50
e001239,1,40
e001240,1,30
e001241,1,20
e001243,0,40
e001244,1,60
e001246,0,20
e001247,1,20
e001249,1,30
e001251,1,30
e001252,1,60
e001253,1,50
e001254,1,60
e001257,1,60
e001261,1,50
e001262,1,30
e001264,0,20
e001265,0,40
e001267,0,40
e001268,1,20
e001271,1,30
e001272,1,20
e001273,1,20
e001276,1,30
e001279,0,50
e001280,0,30
e001281,1,30
e001283,1,30
e001287,0,40
e001288,1,40
e001291,0,30
e001292,1,30
e001295,1,60
e001296,0,40
e001297,1,30
e001301,0,20
e001308,0,30
e001310,0,30
e001312,1,40
e001314,0,50
e001315,1,50
e001316,1,60
e001321,1,30
e001325,1,30
e001326,0,30
e001329,0,30
e001330,1,40
e001331,0,60
e001341,1,20
e001343,1,30
e001344,0,30
e001346,0,20
e001351,0,30
e001356,1,30
e001359,1,50
e001360,0,40
e001367,0,40
e001368,0,40
e001371,1,20
e001372,1,30
e001375,0,50
e001377,1,30
e001380,0,30
e001382,1,30
e001384,0,20
e001386,1,30
e001392,1,30
e001393,1,30
e001396,0,30
e001398,1,30
e001400,0,30
e001401,1,20
e001408,0,30
e001409,1,30
e001411,1,20
e001412,0,20
e001413,1,20
e001414,0,40
e001415,0,20
e001416,1,30
e001421,1,30
e001422,0,40
e001423,1,50
e001424,0,40
e001426,1,30
e001427,1,30
e001428,1,30
e001429,1,40
e001430,1,20
e001431,1,30
e001432,0,20
e001434,0,40
e001436,0,40
e001438,0,30
e001440,0,20
e001443,1,20
e001448,1,20
e001449,1,30
e001452,0,30
e001458,1,60
e001459,0,30
e001462,1,30
e001464,1,20
e001467,1,30
e001468,1,30
e001470,1,20
e001471,0,30
e001480,1,20
e001481,1,20
e001482,0,20
e001485,1,40
e001489,1,20
e001499,0,20
e001503,0,40
e001510,1,20
e001511,1,20
e001519,1,40
e001521,1,20
e001522,0,30
e001523,0,60
e001525,1,50
e001526,1,40
e001529,1,20
e001530,0,20
e001531,1,30
e001532,1,20
e001534,0,20
e001538,0,40
e001542,0,40
e001544,1,30
e001548,1,30
e001553,1,30
e001554,1,30
e001557,1,30
e001559,0,50
e001563,1,30
e001564,0,40
e001565,0,30
e001568,1,20
e001569,1,40
e001571,0,30
e001576,1,40
e001577,1,20
e001578,0,40
e001579,0,20
e001888,0,30
e001890,0,20
e001891,1,30
e001892,0,30
e001897,1,30
e001899,1,20
e001900,0,60
e001905,1,50
e001909,0,30
e001911,0,40
e001913,0,20
e001914,1,20
e001916,1,40
e001923,1,20
e001924,0,20
e001926,1,20
e001935,0,20
e001936,0,20
e001937,1,30
e001940,1,20
e001944,0,60
e001946,0,40
e001949,1,20
e001950,0,20
e001954,1,50
e001955,1,50
e001968,1,30
e001972,0,20
e001976,0,30
e001982,1,40
e001987,1,20
e001989,1,20
e001990,1,20
e001993,1,30
e001996,0,50
e001997,1,20
e002011,1,30
e002013,1,30
e002014,1,30
e002018,1,30
e002024,0,40
e002025,0,60
e002030,0,30
e002033,1,20
e002034,1,30
e002035,0,60
e002036,1,40
e002038,1,50
e002041,0,30
e002043,0,20
e002045,0,30
e002049,0,20
e002051,0,20
e002053,1,20
e002056,1,30
e002058,0,60
e002059,0,40
e002064,0,20
e002066,1,30
e002069,1,30
e002070,1,20
e002071,1,20
e002074,1,40
e002076,0,40
e002077,0,60
e002079,0,20
e002081,0,30
e002082,1,20
e002084,0,20
e002089,1,40
e002091,0,30
e002092,1,20
e002093,1,20
e002094,1,30
e002097,0,20
e002099,0,20
e002106,0,30
e002108,0,30
e002110,0,30
e002121,0,30
e002126,0,40
e002129,1,40
e002130,0,20
e002131,0,60
e002132,1,30
e002135,1,40
e002136,1,30
e002141,0,40
e002143,1,30
e002145,0,30
e002148,1,40
e002152,1,20
e002153,0,50
e002154,1,20
e002155,1,40
e002157,1,30
e002158,1,20
e002159,1,30
