course_id,user_id,satisfaction,travel_type,person,season,means_tp
e_e000003,e000003,3,1;2;3,7,0,0
e_e000004,e000004,4,1;6;10,7,0,0
e_e000005,e000005,5,2;7;12,0,0,0
e_e000006,e000006,4,2;7,0,0,0
e_e000009,e000009,4,1;4;12,1,0,0
e_e000010,e000010,4,3;4;6,5,0,0
e_e000011,e000011,4,3;4;7;9;12,4,0,0
e_e000013,e000013,4,1;2;3;4;9,6,0,0
e_e000014,e000014,3,1;4;12,7,0,0
e_e000015,e000015,4,1;3,1,0,0
e_e000016,e000016,4,1;4,5,0,0
e_e000018,e000018,5,2;10;12,7,0,0
e_e000020,e000020,5,2;7;12,5,0,0
e_e000021,e000021,4,3;7;9,1,0,0
e_e000022,e000022,4,1;6;9;12,0,0,0
e_e000023,e000023,5,1;6;10,2,0,0
e_e000025,e000025,4,1,7,0,0
e_e000030,e000030,3,2;7,5,0,0
e_e000037,e000037,5,1;3;7,5,0,0
e_e000038,e000038,5,1;7,0,0,0
e_e000039,e000039,3,1;9;12,0,0,0
e_e000040,e000040,4,1;6,1,0,0
e_e000041,e000041,4,1;6;9,6,0,0
e_e000042,e000042,4,1;2;9,1,0,0
e_e000043,e000043,5,1;2;3;7;12,5,0,0
e_e000045,e000045,4,2;7;9,0,0,0
e_e000046,e000046,3,2;7,4,0,0
e_e000191,e000191,4,2;6;7;9,7,0,0
e_e000293,e000293,4,1;3;4,5,0,1
e_e000294,e000294,4,1;4;7;12,1,0,2
e_e000295,e000295,3,1;2;4;7,4,1,2
e_e000296,e000296,4,1;4;7;10;11,5,0,1
e_e000299,e000299,4,3;6;10,5,0,1
e_e000301,e000301,5,1;7,1,0,1
e_e000302,e000302,5,1;7;12,5,0,1
e_e000305,e000305,3,1;2;7;12,7,1,2
e_e000307,e000307,4,1;3;6,5,0,2
e_e000311,e000311,4,1;2;12,7,0,2
e_e000316,e000316,4,1;3;7;9,1,0,1
e_e000317,e000317,4,1;2;4;9,5,0,1
e_e000319,e000319,4,1;2;3;4;9,5,0,1
e_e000322,e000322,4,1;2;3;4;6;9,5,1,1
e_e000323,e000323,5,1;4;6;12,1,0,1
e_e000329,e000329,4,1;4;11,1,0,1
e_e000331,e000331,4,1;4;12,5,0,1
e_e000332,e000332,3,2;4;9;11;12,1,0,2
e_e000334,e000334,5,1;3;4;11,1,0,2
e_e000335,e000335,5,1;3;4,1,1,2
e_e000336,e000336,5,4;6;7;10;12,7,0,2
e_e000338,e000338,5,1;3;7;9,5,0,1
e_e000340,e000340,4,2;3;7;9;10;11;12,7,0,2
e_e000342,e000342,5,1;4;7;9,2,0,1
e_e000344,e000344,4,1;3;4;6;12,7,0,2
