user_id,gender,birth
e000003,남,40
e000004,남,40
e000005,여,30
e000006,남,30
e000009,여,30
e000010,여,30
e000011,여,60
e000013,여,20
e000014,남,60
e000015,남,20
e000016,남,30
e000018,여,40
e000020,여,40
e000021,남,20
e000022,남,40
e000023,남,60
e000025,여,40
e000030,남,50
e000037,여,30
e000038,남,30
e000039,남,40
e000040,남,30
e000041,남,60
e000042,여,20
e000043,남,30
e000045,여,60
e000046,남,60
e000191,남,30
e000293,여,30
e000294,여,20
e000295,남,20
e000296,여,30
e000299,여,50
e000301,남,20
e000302,여,20
e000305,남,30
e000307,남,30
e000311,남,30
e000316,여,20
e000317,남,30
e000319,여,50
e000322,남,60
e000323,여,20
e000329,여,20
e000331,여,30
e000332,남,20
e000334,여,20
e000335,여,30
e000336,여,30
e000338,여,40
e000340,여,40
e000342,남,60
e000344,남,30
e000345,남,30
e000346,남,60
e000347,남,40
e000350,여,30
e000352,여,30
e000353,여,40
e000355,여,40
e000357,여,30
e000360,남,30
e000362,여,40
e000364,여,30
e000365,여,40
e000366,여,40
e000369,여,30
e000371,여,30
e000373,여,60
e000375,여,40
e000376,여,50
e000377,여,30
e000379,남,40
e000381,여,30
e000384,여,30
e000385,남,30
e000387,남,30
e000395,여,40
e000396,여,30
e000397,여,50
e000400,남,50
e000401,여,40
e000403,여,40
e000406,여,60
e000407,여,50
e000409,여,60
e000412,여,20
e000418,여,40
e000422,여,40
e000425,여,30
e000429,여,40
e000430,남,20
e000432,여,20
e000433,여,20
e000435,여,40
e000437,여,20
e000438,남,40
e000443,여,40
e000445,남,30
e000447,여,30
e000448,남,30
e000450,여,20
e000451,남,40
e000453,남,30
e000454,여,30
e000460,여,40
e000463,남,40
e000466,여,30
e000469,여,20
e000472,남,20
e000473,남,30
e000474,남,30
e000477,여,20
e000479,남,50
e000480,여,50
e000481,여,20
e000482,남,30
e000483,여,60
e000486,남,20
e000490,여,30
e000491,남,40
e000492,남,50
e000496,남,20
e000500,여,40
e000504,여,30
e000505,남,40
e000506,여,20
e000507,남,40
e000509,남,20
e000510,여,60
e000514,남,60
e000515,남,40
e000521,남,40
e000523,남,40
e000524,여,40
e000525,남,40
e000526,여,20
e000531,여,20
e000533,남,60
e000535,여,20
e000536,남,40
e000540,여,40
e000541,여,40
e000544,여,40
e000546,남,20
e000547,남,30
e000548,남,40
e000550,여,30
e000552,여,40
e000556,남,30
e000557,남,50
e000559,여,30
e000560,여,30
e000561,남,50
e000563,여,20
e000564,남,40
e000566,여,50
e000567,여,30
e000569,남,30
e000571,여,30
e000574,여,30
e000579,남,30
e000580,여,40
e000584,여,30
e000588,여,40
e000590,여,30
e000591,남,30
e000594,여,30
e000595,여,20
e000597,남,40
e000599,여,40
e000601,여,20
e000602,여,20
e000603,여,40
e000604,남,50
e000605,여,20
e000607,여,30
e000608,여,20
e000609,남,30
e000612,남,40
e000615,여,30
e000618,여,40
e000620,남,30
e000621,여,60
e000622,여,20
e000623,여,40
e000625,여,30
e000627,남,40
e000628,남,40
e000632,여,60
e000637,여,20
e000639,여,40
e000640,여,60
e000641,여,30
e000644,남,40
e000645,여,20
e000646,여,20
e000647,여,30
e000648,여,40
e000650,여,30
e000651,여,60
e000654,여,30
e000655,남,50
e000662,남,30
e000664,남,30
e000666,남,20
e000668,여,30
e000669,남,30
e000672,남,60
e000673,남,30
e000680,남,40
e000682,남,20
e000686,남,30
e000689,남,20
e000691,여,30
e000693,남,40
e000695,여,30
e000696,남,40
e000697,남,50
e000699,여,30
e000700,여,20
e000704,여,30
e000705,남,20
e000706,여,20
e000707,남,40
e000709,남,60
e000710,남,30
e000715,여,30
e000717,여,30
e000718,여,20
e000733,남,30
e000734,여,40
e000736,여,40
e000737,남,30
e000738,남,30
e000743,남,30
e000745,여,40
e000746,남,30
e000747,여,40
e000748,여,30
e000751,남,30
e000752,여,40
e000760,남,30
e000761,남,50
e000762,여,20
e000765,남,30
e000767,여,40
e000768,여,40
e000771,여,40
e000774,여,30
e000782,남,50
e000785,여,20
e000787,여,20
e000789,여,40
e000791,남,20
e000793,남,60
e000794,여,20
e000801,남,30
e000802,남,40
e000803,남,30
e000804,여,30
e000805,여,40
e000807,남,30
e000810,여,30
e000811,여,40
e000812,남,30
e000817,남,30
e000818,여,30
e000823,여,40
e000826,여,50
e000828,여,60
e000830,남,30
e000831,남,40
e000838,남,30
e000840,여,30
e000841,여,20
e000844,여,30
e000847,여,30
e000849,여,20
e000850,여,30
e000852,여,30
e000854,여,40
e000856,여,20
e000859,여,30
e000861,여,30
e000863,여,20
e000865,여,20
e000866,여,20
e000867,남,30
e000872,여,50
e000875,남,50
e000877,여,40
e000882,여,20
e000883,여,30
e000886,여,60
e000889,남,30
e000899,여,30
e000902,남,30
e000903,남,30
e000905,남,30
e000906,여,20
e000907,여,20
e000910,남,30
e000914,여,20
e000917,여,30
e000919,남,40
e000930,여,20
e000932,여,20
e000935,남,60
e000936,남,30
e000938,여,40
e000942,남,30
e000946,남,20
e000947,남,30
e000949,남,30
e000950,여,60
e000951,여,30
e000955,여,40
e000956,여,50
e000959,여,40
e000961,남,40
e000962,여,30
e000964,여,30
e000966,남,60
e000967,여,30
e000969,여,40
e000973,여,60
e000976,남,40
e000983,남,50
e000984,여,30
e000986,여,30
e000987,여,20
e000992,여,40
e000993,여,20
e000994,여,20
e000995,남,30
e000996,여,30
e000997,남,40
e000998,여,30
e000999,여,60
e001001,남,20
e001007,여,40
e001009,여,20
e001012,여,20
e001013,여,40
e001014,여,20
e001019,남,30
e001022,여,20
e001023,남,30
e001024,남,30
e001025,남,30
e001026,남,30
e001029,남,50
e001030,남,50
e001031,여,20
e001032,여,30
e001033,여,30
e001040,남,30
e001041,여,40
e001045,남,30
e001049,여,40
e001052,여,30
e001057,남,60
e001059,남,30
e001060,남,30
e001061,여,30
e001062,남,40
e001063,남,30
e001068,남,40
e001069,남,30
e001070,여,20
e001071,여,30
e001078,여,30
e001079,여,30
e001081,남,30
e001084,남,60
e001085,남,40
e001093,여,30
e001097,여,40
e001098,여,30
e001103,여,40
e001104,여,20
e001108,여,20
e001110,여,60
e001112,여,40
e001113,남,20
e001114,여,20
e001117,여,20
e001118,남,40
e001122,여,20
e001124,여,30
e001125,남,30
e001126,여,40
e001127,여,40
e001130,남,30
e001131,여,20
e001132,남,20
e001133,여,40
e001134,여,20
e001137,여,20
e001139,여,40
e001140,남,40
e001142,여,30
e001146,남,20
e001147,남,20
e001149,여,30
e001150,남,50
e001156,남,20
e001159,여,30
e001161,여,30
e001164,여,40
e001166,여,40
e001171,남,30
e001172,여,30
e001173,남,30
e001174,남,30
e001176,남,40
e001178,여,40
e001180,남,30
e001182,여,40
e001183,여,40
e001188,남,40
e001190,여,30
e001194,여,30
e001200,남,20
e001201,남,40
e001203,남,50
e001207,여,30
e001209,남,20
e001211,남,30
e001212,여,50
e001215,남,30
e001218,남,40
e001220,여,30
e001230,여,50
e001233,여,30
e001235,남,30
e001238,남,50
e001239,여,40
e001240,여,30
e001241,여,20
e001243,남,40
e001244,여,60
e001246,남,20
e001247,여,20
e001249,여,30
e001251,여,30
e001252,여,60
e001253,여,50
e001254,여,60
e001257,여,60
e001261,여,50
e001262,여,30
e001264,남,20
e001265,남,40
e001267,남,40
e001268,여,20
e001271,여,30
e001272,여,20
e001273,여,20
e001276,여,30
e001279,남,50
e001280,남,30
e001281,여,30
e001283,여,30
e001287,남,40
e001288,여,40
e001291,남,30
e001292,여,30
e001295,여,60
e001296,남,40
e001297,여,30
e001301,남,20
e001308,남,30
e001310,남,30
e001312,여,40
e001314,남,50
e001315,여,50
e001316,여,60
e001321,여,30
e001325,여,30
e001326,남,30
e001329,남,30
e001330,여,40
e001331,남,60
e001341,여,20
e001343,여,30
e001344,남,30
e001346,남,20
e001351,남,30
e001356,여,30
e001359,여,50
e001360,남,40
e001367,남,40
e001368,남,40
e001371,여,20
e001372,여,30
e001375,남,50
e001377,여,30
e001380,남,30
e001382,여,30
e001384,남,20
e001386,여,30
e001392,여,30
e001393,여,30
e001396,남,30
e001398,여,30
e001400,남,30
e001401,여,20
e001408,남,30
e001409,여,30
e001411,여,20
e001412,남,20
e001413,여,20
e001414,남,40
e001415,남,20
e001416,여,30
e001421,여,30
e001422,남,40
e001423,여,50
e001424,남,40
e001426,여,30
e001427,여,30
e001428,여,30
e001429,여,40
e001430,여,20
e001431,여,30
e001432,남,20
e001434,남,40
e001436,남,40
e001438,남,30
e001440,남,20
e001443,여,20
e001448,여,20
e001449,여,30
e001452,남,30
