course_id,user_id,start_date,end_date,means_tp,travel_type,person,satis
e_e000003,e000003,2023-04-30,2023-05-01,,도시관광/건축물;레포츠/야외활동;문화시설,자녀 동반 여행,3
e_e000004,e000004,2023-04-30,2023-05-01,,도시관광/건축물;역사/문화유산;체험관광,자녀 동반 여행,4
e_e000005,e000005,2023-04-29,2023-05-03,,레포츠/야외활동;온천/헬스케어;테마파크/공원,2인 가족 여행,5
e_e000006,e000006,2023-04-30,2023-05-02,,레포츠/야외활동;온천/헬스케어,2인 가족 여행,4
e_e000009,e000009,2023-04-29,2023-05-01,,도시관광/건축물;쇼핑;테마파크/공원,2인 여행(가족 외),4
e_e000010,e000010,2023-04-29,2023-05-01,,문화시설;쇼핑;역사/문화유산,나홀로 여행,4
e_e000011,e000011,2023-04-28,2023-05-01,,문화시설;쇼핑;온천/헬스케어;자연관광;테마파크/공원,3인 이상 여행(가족 외),4
e_e000013,e000013,2023-04-28,2023-04-30,,도시관광/건축물;레포츠/야외활동;문화시설;쇼핑;자연관광,부모 동반 여행,4
e_e000014,e000014,2023-05-01,2023-05-02,,도시관광/건축물;쇼핑;테마파크/공원,자녀 동반 여행,3
e_e000015,e000015,2023-04-28,2023-05-02,,도시관광/건축물;문화시설,2인 여행(가족 외),4
e_e000016,e000016,2023-04-29,2023-04-30,,도시관광/건축물;쇼핑,나홀로 여행,4
e_e000018,e000018,2023-04-29,2023-04-30,,레포츠/야외활동;체험관광;테마파크/공원,자녀 동반 여행,5
e_e000020,e000020,2023-04-29,2023-05-01,,레포츠/야외활동;온천/헬스케어;테마파크/공원,나홀로 여행,5
e_e000021,e000021,2023-04-29,2023-05-01,,문화시설;온천/헬스케어;자연관광,2인 여행(가족 외),4
e_e000022,e000022,2023-04-29,2023-04-30,,도시관광/건축물;역사/문화유산;자연관광;테마파크/공원,2인 가족 여행,4
e_e000023,e000023,2023-04-29,2023-04-30,,도시관광/건축물;역사/문화유산;체험관광,3대 동반 여행(친척 포함),5
e_e000025,e000025,2023-04-30,2023-05-01,,도시관광/건축물,자녀 동반 여행,4
e_e000030,e000030,2023-04-29,2023-04-30,,레포츠/야외활동;온천/헬스케어,나홀로 여행,3
e_e000037,e000037,2023-04-30,2023-05-01,,도시관광/건축물;문화시설;온천/헬스케어,나홀로 여행,5
e_e000038,e000038,2023-04-28,2023-04-30,,도시관광/건축물;온천/헬스케어,2인 가족 여행,5
e_e000039,e000039,2023-04-29,2023-04-30,,도시관광/건축물;자연관광;테마파크/공원,2인 가족 여행,3
e_e000040,e000040,2023-04-28,2023-04-30,,도시관광/건축물;역사/문화유산,2인 여행(가족 외),4
e_e000041,e000041,2023-04-28,2023-05-01,,도시관광/건축물;역사/문화유산;자연관광,부모 동반 여행,4
e_e000042,e000042,2023-05-01,2023-05-02,,도시관광/건축물;레포츠/야외활동;자연관광,2인 여행(가족 외),4
e_e000043,e000043,2023-04-28,2023-05-01,,도시관광/건축물;레포츠/야외활동;문화시설;온천/헬스케어;테마파크/공원,나홀로 여행,5
e_e000045,e000045,2023-04-29,2023-05-01,,레포츠/야외활동;온천/헬스케어;자연관광,2인 가족 여행,4
e_e000046,e000046,2023-04-28,2023-04-29,,레포츠/야외활동;온천/헬스케어,3인 이상 여행(가족 외),3
e_e000191,e000191,2023-04-28,2023-05-01,,레포츠/야외활동;역사/문화유산;온천/헬스케어;자연관광,자녀 동반 여행,4
e_e000293,e000293,2023-05-28,2023-05-29,대중교통 등,도시관광/건축물;문화시설;쇼핑,나홀로 여행,4
e_e000294,e000294,2023-05-19,2023-05-22,자가용,도시관광/건축물;쇼핑;온천/헬스케어;테마파크/공원,2인 여행(가족 외),4
e_e000295,e000295,2023-06-03,2023-06-05,자가용,도시관광/건축물;레포츠/야외활동;쇼핑;온천/헬스케어,3인 이상 여행(가족 외),3
e_e000296,e000296,2023-05-23,2023-05-26,대중교통 등,도시관광/건축물;쇼핑;온천/헬스케어;체험관광;축제/공연/이벤트,나홀로 여행,4
e_e000299,e000299,2023-05-27,2023-05-29,대중교통 등,문화시설;역사/문화유산;체험관광,나홀로 여행,4
e_e000301,e000301,2023-05-19,2023-05-21,대중교통 등,도시관광/건축물;온천/헬스케어,2인 여행(가족 외),5
e_e000302,e000302,2023-05-19,2023-05-22,대중교통 등,도시관광/건축물;온천/헬스케어;테마파크/공원,나홀로 여행,5
e_e000305,e000305,2023-06-09,2023-06-11,자가용,도시관광/건축물;레포츠/야외활동;온천/헬스케어;테마파크/공원,자녀 동반 여행,3
e_e000307,e000307,2023-05-21,2023-05-22,자가용,도시관광/건축물;문화시설;역사/문화유산,나홀로 여행,4
e_e000311,e000311,2023-05-27,2023-05-28,자가용,도시관광/건축물;레포츠/야외활동;테마파크/공원,자녀 동반 여행,4
